clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,27,0,2.95,12,6.02,0,6.02,NA,1,16,3,2,5,NA,1,29,NA,16,1,NA,4,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Boselli,69161,27,0,3.12,13,4.21,0,4.21,2,2,5,5,6,12,3,2,14,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,27,0,3.18,8,5.28,0,5.28,1,NA,14,1,2,6,NA,NA,13,NA,17,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Camacho,68770,27,0,1.2,1,4.3,0,4.3,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gamarra,69288,27,0,0.2,2,5.34,0,5.34,NA,NA,2,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,27,4,4.47,24,11.61,-1.87,13.48,NA,1,NA,NA,NA,7,NA,NA,2,NA,NA,NA,NA,9,35,NA,22,NA,2019
314,Avaí,7,Provável,2,lat,Léo,69177,27,0,3.51,11,5.99,0,5.99,2,4,21,NA,6,18,NA,NA,19,NA,16,NA,1,4,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Nikão,69705,27,0,4.69,14,15.34,0,15.34,2,2,10,10,12,10,4,3,20,NA,7,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,27,6.4,2.35,10,5.19,1.32,3.87,NA,2,12,1,NA,4,1,NA,14,NA,11,NA,NA,3,NA,NA,NA,1,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,27,0,1.59,11,5.74,0,5.74,NA,1,15,NA,1,7,NA,1,16,NA,12,NA,2,4,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Romulo,70009,27,3,1.7,10,4.84,0.26,4.58,NA,3,18,2,4,11,1,NA,17,NA,12,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Gum,68887,27,0,1.56,20,5.21,0,5.21,NA,1,11,7,7,14,1,2,45,NA,13,NA,2,4,NA,NA,NA,1,2019
277,Santos,6,Nulo,2,lat,Victor Ferraz,70046,27,0,4.25,21,10.52,0,10.52,1,3,10,5,5,12,NA,1,52,NA,27,NA,NA,11,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Wellington Silva,68895,27,0.5,2.63,15,5.48,-0.11,5.590000000000001,1,1,3,4,9,23,1,1,22,NA,9,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Fellipe Bastos,70116,27,0,3.04,9,4.73,0,4.73,NA,3,8,2,10,3,1,NA,7,NA,13,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,27,0,4.83,18,6.57,0,6.57,NA,1,NA,NA,NA,1,NA,NA,11,NA,NA,NA,NA,7,29,NA,15,NA,2019
354,Ceará,7,Provável,1,gol,Diogo Silva,71882,27,1,3.48,26,10.19,0.24,9.95,NA,2,NA,NA,NA,10,NA,NA,11,NA,NA,NA,NA,6,39,NA,27,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,27,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
