clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FS,RB,FC,FD,FF,G,CA,PE,I,A,DD,GS,CV,SG,GC,FT,PP,DP,ano
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Toró,101885,1,1,1,1,2.08,0.08,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Rodrigo Freitas,103261,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Helinho,102598,1,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Júnior,103662,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Walce,104074,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,5,Contundido,3,zag,Breno,50408,1,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Luan,102909,1,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Antony,103455,1,6.9,6.9,1,8.95,2.95,5.999999999999999,2,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Werley,62974,1,-4.4,-4.4,1,0.69,-4.31,5,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
267,Vasco,7,Provável,5,ata,Maxi López,68800,1,-1.6,-1.6,1,4.44,-3.56,8,1,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,5,Contundido,2,lat,Ramon,68896,1,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,1,7.5,7.5,1,10.06,3.06,7,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Luiz Gustavo,80573,1,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,2,lat,Claudio Winck,74074,1,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Raúl Cáceres,71680,1,-1.5,-1.5,1,3.12,-2.88,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Fellipe Bastos,70116,1,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,5,Contundido,5,ata,Rossi,81798,1,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
